food, popularity, popularity rise this month, similar foods, cost, does pratyaksh like it, country of origin, ingredients, link, course, description, calories, time
pepperoni pizza, 99, 0, Margherita Pizza, 3.50, Y, Italy, tomatoes | pepperoni | cheese, https://www.bbcgoodfood.com/recipes/pizza-margherita-4-easy-steps, main, Even a novice cook can master the art of pizza with our simple step-by-step guide. Bellissimo!, 431000, 0.4
margherita pizza, 100, 0, pepperoni pizza, 2.00, Y, Italy, tomatoes | cheese, https://www.bbcgoodfood.com/user/621758/recipe/homemade-pepperoni-pizza, main, A great recipe for Homemade Pepperoni Pizza that can be adapted to accomodate any topping you like., 600000, 0.80
pasta, 80, 5, spaghetti | pasta, 4.00, , Italy, tomatoes | pasta | spinach, https://www.bbcgoodfood.com/recipes/caponata-pasta, main, Whip up our easy vegetarian caponata pasta in just 20 minutes. It's simple to make and packs three of your five-a-day into one delicious meal, 542000, 0.33
risotto, 15, 10, , 6.00, N, Italy, rice | mushroom | cheese, https://www.bbcgoodfood.com/recipes/chorizo-pea-risotto, main, Using simple storecupboard and freezer ingredients this pea and chorizo risotto makes an easy midweek meal. Garnish with crisped chorizo and grated parmesan, 642000, 0.55
tiramisu, 10, 5, ice cream, 3.00, Y, Italy, egg | cheese | sugar, https://www.bbcgoodfood.com/recipes/next-level-tiramisu-0, dessert, Create this superb version of the classic creamy Italian dessert. It's the perfect ending to a decadent meal: rich yet light laced with booze and a coffee hit to pick you up, 745000, 0.67
lasagna, 20, 15, spaghetti | pasta, 4.25, , Italy, beef | tomatoes | pasta | cheese, https://www.bbcgoodfood.com/recipes/ravioli-lasagne, main, Cook this lasagne for the family on a busy weeknight. It only takes 15 minutes to prepare and uses just five ingredients including shop-bought ravioli, 789000, 1.40
spaghetti, 80, -5, pasta | lasagna, 3.50, N, Italy, pasta | tomatoes | cheese, https://www.bbcgoodfood.com/recipes/best-spaghetti-bolognese-recipe, main, Our best ever spaghetti bolognese is super easy and a true Italian classic with a meaty chilli sauce. This recipe comes courtesy of BBC Good Food user Andrew Balmer, 642000, 2.25
lamb curry, 50, 30, bombay potatoes | mild chicken curry | corination chicken, 3.50, Y, India, lamb | potatoes, https://www.bbcgoodfood.com/recipes/railway-lamb-curry, main, Try this spicy lamb curry so named as it was once cooked by the chefs working on the Indian railways in the 1900s. Lamb on the bone gives loads of flavour, 646000, 2.33
bombay potatoes, 3, -10, lamb curry | mild chicken curry | corination chicken, 4.00, Y, India, potatoes | tomatoes | onion, https://www.bbcgoodfood.com/recipes/bombay-potatoes, main, Enjoy Bombay potatoes as a brilliant side dish to an epic feast. These Indian-style potatoes made with nuggets of juicy tomato are super-easy to make spicy and moreish, 268000, 0.68
dosa, 0, -1, hoisin wraps | egg-fried rice, 2.50, , India, lentils | rice, https://www.bbcgoodfood.com/recipes/dosa, main, Make your own dosa – Indian rice pancakes made from fermented batter. They take a little effort but are delicious served with aloo masala and other fillings, 94000, 0.33
mild chicken curry, 90, 20, lamb curry | bombay potatoes | corination chicken, 4.00, Y, India, onion | chicken, https://www.bbcgoodfood.com/recipes/family-meals-mild-chicken-curry, main, A mildly-spiced curry with a rich yogurt sauce that will appeal to adults and kids alike, 409000, 1.5
coronation chicken, 90, 0, lamb curry | bombay potatoes | mild chicken curry, 4.50, Y, India, chicken | naan bread, https://www.bbcgoodfood.com/recipes/coronation-chicken-naans-indian-slaw, main, Top Indian bread with shredded meat fruity mild curry sauce and a carrot and cabbage slaw, 625000, 0.33
sweet and sour chicken, 76, 6, egg-fried rice | noodles | chow mein, 4.00, , China, chicken | tomatoes, https://www.bbcgoodfood.com/recipes/sweet-sour-chicken, main, Try an authentic version of this classic Chinese takeaway dish with natural sweetness and a warm chilli flavour to spice things up, 654000, 1.1
noodles, 99, -1, sweet and sour chicken | chow mein, 1.00, N, China, pasta | egg | chilli, https://www.bbcgoodfood.com/recipes/singapore-noodles-prawns, main, This low-fat low-calorie version of your favourite stir-fried takeaway will be ready in 20 minutes and is packed with prawns and plenty of flavour, 411000, 0.33
egg-fried rice, 30, -4, dosa | sweet and sour chicken, 1.50, N, China, rice | onion | egg, https://www.bbcgoodfood.com/recipes/egg-fried-rice, main, Don't call the Chinese takeaway – make your own egg-fried rice. Use leftover rice or cook and dry it on a plate before using so it doesn't stick to the wok, 387000, 0.33
chow mein, 60, -30, noodles | sweet and sour chicken, 4.00, , China, noodles | mangetout | spring onions, https://www.bbcgoodfood.com/recipes/chow-mein, main, A classic Chinese dish of stir-fried egg noodles with shredded chicken breast. Experiment with different fish meat or vegetables, 399000, 0.5
hoisin wraps, 40, 30, dosa, 1.50, Y, China, chicken, https://www.bbcgoodfood.com/recipes/hoisin-wraps, main, Make this delicious healthy take on a Peking duck wrap for a speedy snack or tasty lunch., 302000, 0.17
Strawberry ice cream, 100, 0, tiramisu, 1.00, Y, , , https://www.bbcgoodfood.com/recipes/strawberry-ice-cream, main, Use sweet strawberries whilst they’re in season to make this fabulous homemade strawberry ice cream. It's perfect on its own or as an accompaniment summer desserts, 532000, 0.5
